"SEQN","RIDAGEYR","INDFMPIR","DMDEDUC2","DMDMARTL","RIAGENDR","RIDRETH1"
45165,59,1.39,2,1,1,4
45166,80,1.89,4,1,2,2
45167,12,4.46,NA,NA,1,3
45168,6,1.01,NA,NA,2,3
45169,60,5,4,1,1,3
45170,0,0.62,NA,NA,1,3
45171,61,5,4,1,1,3
45172,73,1.62,3,1,1,3
45173,9,0.89,NA,NA,1,4
45174,74,1.75,3,1,2,3
45175,20,0.34,2,6,1,1
45176,65,0.74,2,4,1,3
45177,6,1.16,NA,NA,1,1
45178,18,2.36,NA,NA,1,1
45179,63,2.27,4,1,2,3
45180,30,0.58,2,1,2,2
45181,80,5,5,1,1,3
45182,2,0.41,NA,NA,1,1
45183,5,0.84,NA,NA,2,1
45184,4,0.48,NA,NA,1,4
45185,69,5,4,1,1,3
45186,63,5,4,1,2,4
45187,53,NA,2,1,1,4
45188,38,1.45,4,5,2,4
45189,14,5,NA,NA,1,5
45190,60,3.85,4,3,2,4
45191,10,2.73,NA,NA,1,1
45192,7,3.11,NA,NA,2,2
45193,1,0.05,NA,NA,1,5
45194,40,0.58,3,5,1,3
45195,9,0.7,NA,NA,2,3
45196,27,1.45,1,5,1,1
45197,46,3.02,4,1,1,3
45198,15,NA,NA,NA,1,4
45199,0,2.91,NA,NA,2,3
45200,43,2.11,4,4,2,4
45201,24,4.84,4,1,2,1
45202,80,2.55,5,2,1,3
45203,11,3.21,NA,NA,2,4
45204,72,5,5,1,1,3
45205,1,1.57,NA,NA,1,4
45206,11,0.47,NA,NA,2,2
45207,43,0.95,2,6,1,1
45208,80,1.37,3,2,2,3
45209,62,NA,1,1,1,2
45210,4,NA,NA,NA,1,3
45211,80,1.81,3,1,1,3
45212,41,4.66,5,1,2,3
45213,19,2.42,NA,NA,2,5
45214,18,0.1,NA,NA,1,3
45215,71,NA,4,1,1,3
45216,41,0.74,2,3,1,3
45217,34,0.5,5,1,2,3
45218,16,NA,NA,NA,1,1
45219,57,4.31,4,3,1,1
45220,10,5,NA,NA,2,3
45221,11,1.28,NA,NA,2,4
45222,39,2.9,3,1,1,3
45223,61,1.05,2,3,2,4
45224,0,1.41,NA,NA,2,3
45225,59,0.88,3,1,1,3
45226,34,1.99,2,1,2,1
45227,4,1.02,NA,NA,2,3
45228,5,0.52,NA,NA,2,3
45229,68,1.93,2,1,1,4
45230,13,0.87,NA,NA,1,3
45231,32,0.77,3,1,2,3
45232,5,3.79,NA,NA,2,4
45233,51,1.36,3,2,2,3
45234,51,1.63,4,3,2,4
45235,32,2.39,3,1,1,4
45236,33,NA,5,1,1,3
45237,44,1.81,1,1,1,1
45238,0,3.93,NA,NA,1,1
45239,29,1.92,5,5,1,4
45240,3,0.87,NA,NA,1,3
45241,18,1.89,NA,NA,1,4
45242,15,1.01,NA,NA,1,1
45243,76,1.96,2,2,2,3
45244,0,0.5,NA,NA,1,1
45245,78,NA,2,2,2,4
45246,9,2.36,NA,NA,2,5
45247,62,5,5,1,1,3
45248,21,0.9,2,5,1,1
45249,29,1.53,2,1,1,3
45250,5,NA,NA,NA,1,4
45251,0,0.25,NA,NA,1,3
45252,80,NA,2,2,2,3
45253,26,1.78,2,1,1,1
45254,15,5,NA,NA,2,3
45255,67,2.86,2,1,1,3
45256,26,3.23,5,5,2,1
45257,78,NA,5,5,2,3
45258,80,NA,4,2,2,5
45259,7,5,NA,NA,2,3
45260,4,2.42,NA,NA,2,3
45261,42,4.38,2,1,1,1
45262,61,2.34,4,1,1,4
45263,5,1.45,NA,NA,1,3
45264,50,1.48,1,6,1,1
45265,19,1.39,NA,NA,2,3
45266,16,1.14,NA,NA,1,2
45267,69,5,5,1,1,3
45268,42,0.7,2,4,2,1
45269,17,3.94,NA,NA,1,4
45270,61,4.99,5,1,1,3
45271,47,5,4,3,2,4
45272,13,0.69,NA,NA,2,5
45273,50,5,5,3,1,4
45274,0,1.55,NA,NA,1,3
45275,15,0,NA,NA,1,2
45276,40,0.7,4,1,2,1
45277,70,NA,4,1,1,3
45278,69,3.65,4,1,1,3
45279,18,0.15,NA,NA,2,4
45280,38,0.18,2,5,1,3
45281,64,1.73,1,3,1,3
45282,74,3.43,3,3,1,3
45283,22,0.63,3,5,2,1
45284,53,4.84,4,3,2,5
45285,66,0.59,2,3,1,3
45286,58,5,5,1,2,3
45287,38,2.42,4,1,2,3
45288,17,0.03,NA,NA,2,3
45289,12,0.58,NA,NA,1,1
45290,15,0.74,NA,NA,2,3
45291,22,1.65,2,1,1,4
45292,9,2.62,NA,NA,1,1
45293,76,0.73,3,4,2,1
45294,0,0.8,NA,NA,2,3
45295,74,2.56,5,1,1,3
45296,43,3.72,4,3,1,2
45297,19,3.39,NA,NA,2,4
45298,67,1.97,2,1,2,3
45299,60,5,4,1,1,4
45300,24,5,5,5,1,3
45301,16,2.82,NA,NA,1,2
45302,67,5,4,1,1,3
45303,45,0.97,3,1,2,3
45304,17,2.21,NA,NA,2,5
45305,4,NA,NA,NA,2,1
45306,34,4.48,5,1,2,3
45307,12,0.77,NA,NA,1,1
45308,61,0.44,1,1,1,1
45309,62,3.43,2,3,2,1
45310,47,NA,3,5,2,4
45311,68,2.92,2,1,1,4
45312,32,0.6,1,1,1,1
45313,51,5,2,1,2,1
45314,80,1.65,4,2,2,3
45315,20,4.72,4,5,1,3
45316,38,5,5,5,2,3
45317,43,1.07,3,1,2,1
45318,47,0.5,4,3,2,3
45319,60,5,5,1,1,3
45320,46,NA,4,4,2,4
45321,27,2.83,4,1,1,4
45322,12,1.69,NA,NA,2,4
45323,15,5,NA,NA,2,4
45324,27,0.68,4,1,1,1
45325,8,2.75,NA,NA,2,1
45326,78,0.93,3,2,2,3
45327,0,0.75,NA,NA,1,3
45328,23,0,5,1,2,4
45329,2,3.32,NA,NA,1,3
45330,31,2.49,3,6,2,4
45331,14,1.24,NA,NA,2,4
45332,31,5,5,5,1,4
45333,57,1.46,3,1,1,3
45334,71,0.56,1,2,1,4
45335,22,1.39,4,5,2,3
45336,11,5,NA,NA,1,3
45337,34,3.79,2,6,1,4
45338,43,4.26,2,1,2,5
45339,9,1.32,NA,NA,1,4
45340,78,4.75,2,1,1,2
45341,0,0.63,NA,NA,2,1
45342,18,3.41,NA,NA,2,2
45343,78,5,5,1,1,3
45344,34,4.83,4,1,2,3
45345,10,0.7,NA,NA,1,3
45346,5,3.02,NA,NA,2,4
45347,72,NA,2,3,2,4
45348,67,5,5,3,2,3
45349,32,0,2,5,2,1
45350,33,4.24,5,1,1,3
45351,76,NA,5,2,2,2
45352,1,0.98,NA,NA,1,4
45353,1,0.71,NA,NA,2,1
45354,3,0.53,NA,NA,1,5
45355,36,1.07,5,1,1,3
45356,73,1.25,1,2,2,1
45357,22,3.53,3,5,2,4
45358,26,NA,3,6,2,3
45359,18,3.77,NA,NA,1,3
45360,63,4.29,3,2,1,3
45361,1,5,NA,NA,2,5
45362,8,1.88,NA,NA,2,4
45363,56,5,5,1,2,4
45364,10,0.34,NA,NA,1,3
45365,52,5,4,1,2,3
45366,75,1.76,2,2,2,4
45367,61,1.08,1,4,2,1
45368,50,1.47,2,5,1,2
45369,80,1.02,4,1,1,3
45370,51,2.46,1,1,1,1
45371,52,0.28,2,6,1,2
45372,33,0.65,3,1,2,2
45373,0,1.34,NA,NA,1,3
45374,21,1.32,2,5,2,1
45375,51,2.88,4,3,2,2
45376,2,4.08,NA,NA,1,3
45377,15,5,NA,NA,1,1
45378,10,4.12,NA,NA,2,2
45379,9,0.56,NA,NA,1,1
45380,45,3.17,3,3,1,3
45381,12,5,NA,NA,1,3
45382,18,0.76,NA,NA,1,4
45383,27,NA,1,5,1,1
45384,3,0.47,NA,NA,1,1
45385,10,5,NA,NA,1,3
45386,1,0,NA,NA,1,1
45387,80,0.87,5,2,2,3
45388,17,2.54,NA,NA,2,2
45389,8,0.46,NA,NA,2,1
45390,21,1.37,4,5,2,1
45391,78,0.63,3,3,2,4
45392,56,3.57,3,1,1,3
45393,59,0.66,3,4,2,3
45394,16,0.52,NA,NA,2,3
45395,12,1.14,NA,NA,1,2
45396,8,2.92,NA,NA,1,3
45397,1,5,NA,NA,1,5
45398,16,0.71,NA,NA,1,4
45399,0,0.8,NA,NA,2,1
45400,26,0.23,2,6,1,3
45401,56,1.24,3,1,2,3
45402,23,1.11,1,6,2,1
45403,29,4.01,4,1,2,3
45404,80,5,2,2,1,3
45405,24,3.41,5,5,2,4
45406,80,1.74,1,1,2,2
45407,80,1.37,2,2,2,3
45408,1,0.7,NA,NA,2,1
45409,71,5,4,1,2,4
45410,50,4.75,4,1,2,4
45411,32,1.42,2,1,2,1
45412,24,1.39,5,5,1,5
45413,1,1.27,NA,NA,2,3
45414,17,1.23,NA,NA,1,1
45415,17,1.22,NA,NA,1,3
45416,39,1.42,3,3,2,3
45417,80,3.49,2,1,2,4
45418,37,0.98,3,5,1,4
45419,9,0.18,NA,NA,2,1
45420,76,4.38,4,1,2,3
45421,69,0.88,3,1,2,1
45422,75,2.1,3,1,1,3
45423,0,2.82,NA,NA,1,3
45424,3,0.48,NA,NA,1,1
45425,77,1.83,3,1,2,4
45426,27,0.47,3,6,2,1
45427,16,3.77,NA,NA,2,3
45428,8,3.91,NA,NA,2,1
45429,39,1.7,4,1,1,3
45430,37,1.57,2,1,1,1
45431,65,5,5,1,2,3
45432,13,2.42,NA,NA,2,5
45433,49,0.94,4,1,2,3
45434,22,3.63,3,5,1,3
45435,67,0.95,5,3,1,3
45436,9,1.85,NA,NA,2,4
45437,61,NA,1,2,2,1
45438,8,1.01,NA,NA,1,1
45439,43,4.08,4,1,1,3
45440,8,3.3,NA,NA,1,5
45441,22,0.61,4,5,2,3
45442,0,1.09,NA,NA,2,3
45443,43,1.21,4,4,2,4
45444,73,0.75,3,1,1,3
45445,78,1.92,1,2,1,3
45446,22,0.94,3,1,1,1
45447,75,NA,1,2,2,3
45448,15,0.99,NA,NA,1,3
45449,14,2.49,NA,NA,1,4
45450,47,4.9,5,3,1,4
45451,75,1.83,3,2,2,3
45452,36,0.15,3,3,2,2
45453,8,1.45,NA,NA,1,4
45454,0,1.14,NA,NA,1,4
45455,12,0.6,NA,NA,2,2
45456,6,2.17,NA,NA,1,4
45457,78,NA,3,1,2,3
45458,51,4.75,4,1,1,3
45459,6,0.92,NA,NA,1,1
45460,13,1.08,NA,NA,2,4
45461,22,1.42,3,6,2,3
45462,69,0.89,3,1,1,3
45463,61,0.66,1,1,1,1
45464,19,3.24,NA,NA,2,1
45465,62,2.04,2,6,2,4
45466,0,2.66,NA,NA,1,1
45467,28,2.07,2,1,1,4
45468,80,1.75,3,1,1,3
45469,7,1.04,NA,NA,2,1
45470,56,NA,4,1,2,4
45471,54,5,4,1,2,3
45472,77,3.98,1,1,2,2
45473,38,0.29,1,5,2,2
45474,19,0.96,NA,NA,1,4
45475,36,0.74,2,1,1,3
45476,65,1.43,3,1,1,3
45477,56,1.16,2,1,1,2
45478,1,2.9,NA,NA,2,3
45479,14,5,NA,NA,2,3
45480,2,5,NA,NA,1,3
45481,5,0.58,NA,NA,1,5
45482,74,2.1,1,1,1,1
45483,41,NA,4,1,1,4
45484,35,0.47,2,4,2,2
45485,52,0.93,3,5,1,4
45486,68,0.78,1,2,2,4
45487,35,1.02,3,3,2,4
45488,80,3.86,1,2,2,2
45489,4,1.22,NA,NA,1,1
45490,0,1.3,NA,NA,2,1
45491,78,3.36,1,1,1,3
45492,78,1.18,1,3,1,1
45493,7,4.26,NA,NA,1,4
45494,10,1.16,NA,NA,1,1
45495,16,2.57,NA,NA,2,1
45496,67,5,4,1,2,3
45497,54,1.73,1,5,2,2
45498,5,2.91,NA,NA,2,3
45499,73,5,4,2,1,3
45500,80,0.5,3,1,1,3
45501,47,0.28,4,5,2,3
45502,7,0.43,NA,NA,1,3
45503,12,1.79,NA,NA,1,1
45504,12,0.59,NA,NA,1,4
45505,51,5,5,3,2,3
45506,3,0.85,NA,NA,1,4
45507,70,0.23,1,2,1,3
45508,3,3.61,NA,NA,2,3
45509,7,0.48,NA,NA,1,4
45510,30,1.02,3,5,1,1
45511,4,5,NA,NA,2,5
45512,10,1.01,NA,NA,2,3
45513,1,2.21,NA,NA,2,2
45514,5,0.71,NA,NA,2,1
45515,19,2.48,NA,NA,2,5
45516,10,1.81,NA,NA,2,4
45517,5,0.32,NA,NA,2,4
45518,36,1.08,4,3,2,4
45519,54,5,5,1,2,3
45520,78,2.33,2,1,2,3
45521,40,1.29,2,5,1,1
45522,29,2.33,4,1,2,2
45523,71,0.65,5,2,2,4
45524,8,2.07,NA,NA,2,1
45525,18,NA,NA,NA,2,3
45526,33,4.02,2,1,1,3
45527,1,1.95,NA,NA,2,2
45528,0,2.18,NA,NA,2,3
45529,49,NA,3,6,1,1
45530,50,3.79,5,3,2,4
45531,24,0.85,3,6,2,1
45532,8,1.01,NA,NA,1,3
45533,10,1.25,NA,NA,2,3
45534,55,2.45,4,6,2,4
45535,76,0.74,1,2,2,3
45536,76,2.41,2,1,2,2
45537,7,1.57,NA,NA,1,1
45538,7,1.42,NA,NA,1,1
45539,74,0.24,4,2,2,3
45540,19,NA,NA,NA,2,2
45541,16,0.75,NA,NA,2,3
45542,38,0.29,3,5,2,4
45543,9,1.45,NA,NA,2,4
45544,41,2.48,2,4,2,4
45545,4,0.3,NA,NA,2,1
45546,1,0.84,NA,NA,1,1
45547,80,0.87,1,1,1,1
45548,33,5,4,1,1,4
45549,50,5,3,1,2,3
45550,59,4.36,3,1,2,3
45551,8,1.55,NA,NA,2,1
45552,6,2.26,NA,NA,1,3
45553,68,4.64,4,1,2,3
45554,9,3.02,NA,NA,1,4
45555,16,5,NA,NA,2,3
45556,56,4.86,4,1,2,3
45557,16,4.83,NA,NA,2,3
45558,73,NA,1,1,2,2
45559,39,0.48,1,1,2,3
45560,7,0.81,NA,NA,1,3
45561,79,1.52,3,2,2,3
45562,7,0.71,NA,NA,1,3
45563,16,0.5,NA,NA,1,3
45564,42,1.14,3,1,1,1
45565,19,0.28,NA,NA,1,2
45566,10,2.36,NA,NA,1,4
45567,5,1.14,NA,NA,2,3
45568,58,NA,3,1,2,3
45569,29,5,4,1,2,1
45570,9,3.49,NA,NA,2,1
45571,3,0.33,NA,NA,1,4
45572,16,1.1,NA,NA,1,4
45573,52,1.16,4,1,2,3
45574,8,1.09,NA,NA,2,1
45575,22,0.29,4,5,2,3
45576,2,1.24,NA,NA,1,2
45577,42,0.34,2,3,2,4
45578,15,0.52,NA,NA,1,3
45579,0,0.52,NA,NA,2,3
45580,13,NA,NA,NA,2,2
45581,2,1.85,NA,NA,2,4
45582,2,1.04,NA,NA,1,5
45583,36,5,5,1,2,1
45584,0,0.18,NA,NA,2,4
45585,2,1.16,NA,NA,2,1
45586,38,0.05,4,3,1,4
45587,7,2.49,NA,NA,1,1
45588,79,1.44,2,2,1,3
45589,0,5,NA,NA,2,3
45590,26,5,3,1,2,2
45591,34,2.9,2,1,2,4
45592,0,NA,NA,NA,2,1
45593,50,0.94,2,3,2,3
45594,78,1.97,5,1,2,3
45595,19,4.66,NA,NA,1,4
45596,80,1.92,5,4,1,4
45597,14,4.55,NA,NA,2,4
45598,6,0.14,NA,NA,2,4
45599,0,1.16,NA,NA,1,3
45600,10,2.61,NA,NA,1,1
45601,80,2.94,4,2,1,3
45602,4,4.25,NA,NA,2,3
45603,61,2.86,1,1,1,4
45604,24,2.56,3,5,2,1
45605,38,4.01,2,1,2,3
45606,30,NA,1,1,1,1
45607,64,NA,3,3,2,2
45608,0,0.65,NA,NA,2,2
45609,48,5,4,1,2,3
45610,42,2.04,4,3,2,4
45611,14,2.9,NA,NA,2,3
45612,68,2.88,2,2,1,4
45613,23,2.36,1,1,1,1
45614,4,1.18,NA,NA,1,3
45615,45,NA,4,1,1,3
45616,39,5,5,1,2,3
45617,2,2.9,NA,NA,1,4
45618,8,NA,NA,NA,1,1
45619,14,1.94,NA,NA,2,4
45620,6,0.83,NA,NA,1,4
45621,78,4.38,5,1,2,3
45622,13,0.98,NA,NA,2,1
45623,51,1.31,3,3,2,4
45624,71,3.65,5,1,1,3
45625,76,1.96,3,6,1,2
45626,4,0.79,NA,NA,2,4
45627,38,4.36,4,1,1,5
45628,69,1.68,1,3,2,1
45629,4,2.92,NA,NA,1,3
45630,25,2.5,5,5,1,3
45631,48,0.8,2,3,2,2
45632,76,0.88,3,1,1,3
45633,0,5,NA,NA,1,3
45634,30,0.97,3,5,2,4
45635,15,5,NA,NA,1,5
45636,6,1.99,NA,NA,1,1
45637,6,3.69,NA,NA,2,3
45638,36,1.47,2,5,1,4
45639,6,NA,NA,NA,1,1
45640,73,1.83,3,5,2,4
45641,62,2.92,5,1,2,5
45642,10,0.51,NA,NA,1,4
45643,16,2.52,NA,NA,2,4
45644,4,0.28,NA,NA,2,2
45645,47,5,5,1,1,3
45646,52,1.79,3,1,2,4
45647,8,4.96,NA,NA,1,4
45648,62,0.83,1,3,2,4
45649,73,1.06,4,3,1,3
45650,5,0.48,NA,NA,2,5
45651,17,0.83,NA,NA,2,2
45652,2,0.74,NA,NA,1,1
45653,46,0.82,4,4,2,4
45654,42,3.49,4,1,2,3
45655,5,2.35,NA,NA,1,4
45656,2,1.41,NA,NA,2,3
45657,36,NA,5,1,2,1
45658,57,0.28,1,1,1,2
45659,27,1.99,3,1,2,2
45660,65,5,3,1,1,3
45661,8,5,NA,NA,2,3
45662,42,2.46,3,1,2,3
45663,46,1.73,2,3,2,1
45664,72,0.87,3,3,2,3
45665,16,2.9,NA,NA,2,3
45666,8,0.02,NA,NA,1,3
45667,4,NA,NA,NA,2,1
45668,3,1.16,NA,NA,1,3
45669,8,3.79,NA,NA,2,4
45670,6,2.1,NA,NA,2,2
45671,63,NA,2,4,1,2
45672,19,5,NA,NA,1,3
45673,33,1.86,3,1,1,1
45674,46,1.88,4,4,2,1
45675,55,1.87,1,1,1,2
45676,6,3.15,NA,NA,1,1
45677,16,0.3,NA,NA,2,1
45678,66,1.18,4,1,1,3
45679,11,2.54,NA,NA,1,3
45680,12,1.26,NA,NA,2,4
45681,21,2.66,2,5,1,2
45682,8,1.69,NA,NA,1,1
45683,4,2.91,NA,NA,1,3
45684,55,2.74,4,1,2,3
45685,73,1.66,2,1,2,4
45686,11,1.29,NA,NA,1,1
45687,10,1.09,NA,NA,2,1
45688,80,NA,5,2,2,3
45689,0,0.73,NA,NA,2,1
45690,38,0.83,4,1,1,1
45691,60,4.6,5,1,1,3
45692,44,0.21,3,6,2,2
45693,10,0.78,NA,NA,1,2
45694,33,2.99,5,1,2,3
45695,31,1.83,5,1,2,3
45696,7,0.29,NA,NA,1,2
45697,55,0.47,2,5,1,4
45698,35,NA,2,6,2,4
45699,39,5,5,1,1,3
45700,5,2.45,NA,NA,2,3
45701,76,0.14,2,2,2,3
45702,34,1.25,1,1,2,2
45703,66,4.75,2,1,2,3
45704,8,0.74,NA,NA,2,1
45705,56,NA,3,1,2,3
45706,65,5,5,1,1,4
45707,5,1.98,NA,NA,1,3
45708,29,0.9,2,5,2,3
45709,12,5,NA,NA,1,4
45710,70,5,4,3,1,2
45711,4,NA,NA,NA,2,1
45712,69,2.55,2,1,1,4
45713,10,3.03,NA,NA,1,4
45714,19,3.63,NA,NA,2,1
45715,27,1.94,4,1,2,4
45716,0,0.5,NA,NA,2,3
45717,46,5,3,6,2,3
45718,19,5,NA,NA,1,3
45719,2,3.41,NA,NA,2,1
45720,42,0.94,2,5,1,4
45721,31,0.97,2,3,2,4
45722,31,0.7,3,1,2,1
45723,45,5,5,1,2,4
45724,73,3.38,4,2,1,4
45725,3,1.56,NA,NA,2,1
45726,12,2.62,NA,NA,1,1
45727,43,5,4,1,2,3
45728,62,2.7,4,1,2,3
45729,3,2.49,NA,NA,1,4
45730,30,5,5,5,2,1
45731,1,0.29,NA,NA,2,3
45732,1,0.91,NA,NA,1,3
45733,59,0.58,4,2,2,4
45734,62,0.95,3,1,2,4
45735,18,1.39,NA,NA,1,4
45736,0,0.88,NA,NA,2,1
45737,16,0.94,NA,NA,1,2
45738,25,0.61,4,3,2,2
45739,12,0.97,NA,NA,1,4
45740,4,0.66,NA,NA,1,2
45741,43,2.36,5,3,2,3
45742,15,1.75,NA,NA,2,4
45743,4,1.18,NA,NA,1,3
45744,42,2.62,5,1,2,3
45745,12,1.09,NA,NA,2,1
45746,61,0.63,2,5,2,4
45747,10,2.33,NA,NA,2,2
45748,60,5,5,1,2,3
45749,6,0.77,NA,NA,2,1
45750,45,1.16,5,4,2,1
45751,45,4.44,2,1,2,2
45752,2,4.97,NA,NA,2,3
45753,67,5,5,3,2,4
45754,65,1.06,5,1,1,3
45755,57,5,5,5,1,4
45756,66,5,5,1,2,3
45757,34,1.18,4,5,2,3
45758,37,1.71,4,1,2,4
45759,30,0.47,1,6,1,1
45760,4,NA,NA,NA,2,1
45761,17,4.36,NA,NA,2,4
45762,9,0.91,NA,NA,1,3
45763,54,3.39,2,1,1,4
45764,80,1.86,4,1,1,3
45765,20,5,4,5,2,2
45766,42,4.9,4,3,1,3
45767,54,1.79,3,1,2,1
45768,80,5,3,1,2,3
45769,14,1.45,NA,NA,1,3
45770,10,1.09,NA,NA,2,3
45771,27,NA,2,5,1,5
45772,52,1.1,2,3,2,3
45773,2,NA,NA,NA,2,4
45774,0,4.18,NA,NA,2,1
45775,42,1.09,2,3,1,5
45776,2,2.82,NA,NA,2,1
45777,67,1.76,5,3,2,3
45778,38,1.45,5,1,2,5
45779,4,1.34,NA,NA,2,1
45780,6,0.87,NA,NA,2,4
45781,8,0.71,NA,NA,1,1
45782,46,5,5,6,1,3
45783,0,0.48,NA,NA,2,1
45784,36,5,5,1,2,2
45785,34,1.89,2,6,1,4
45786,42,NA,3,1,1,4
45787,66,2.92,5,1,1,3
45788,64,NA,5,1,2,2
45789,12,4.96,NA,NA,2,4
45790,51,0.53,3,1,1,5
45791,13,2.83,NA,NA,1,4
45792,19,0.39,NA,NA,1,3
45793,34,0.48,2,4,2,1
45794,1,3.39,NA,NA,2,3
45795,33,4.02,4,1,2,3
45796,42,NA,4,1,1,3
45797,1,1.13,NA,NA,1,2
45798,1,NA,NA,NA,2,2
45799,36,1.02,2,1,1,1
45800,1,3.77,NA,NA,1,3
45801,80,2.92,1,2,2,2
45802,9,1.06,NA,NA,2,2
45803,53,5,5,3,2,2
45804,80,3.29,3,1,1,3
45805,31,1.92,5,4,1,3
45806,64,1.07,3,1,1,3
45807,0,2.12,NA,NA,2,3
45808,80,2.55,5,2,2,3
45809,29,1.06,1,1,1,3
45810,38,NA,2,1,2,3
45811,53,2.1,2,1,2,2
45812,29,1.15,3,6,2,3
45813,40,2.59,2,1,1,2
45814,5,1.07,NA,NA,1,4
45815,67,1.64,1,1,1,3
45816,55,0.82,4,1,2,4
45817,67,1.29,1,2,2,1
45818,29,1.76,4,5,1,4
45819,63,1.76,1,2,1,4
45820,17,3.32,NA,NA,2,3
45821,38,0.34,2,1,2,2
45822,19,0.71,NA,NA,2,1
45823,78,1.47,5,2,2,5
45824,65,NA,5,1,2,5
45825,21,NA,3,5,2,4
45826,62,1.49,4,1,2,3
45827,29,2.79,5,6,2,4
45828,70,5,4,6,1,3
45829,80,2.92,3,1,1,3
45830,14,3.47,NA,NA,2,4
45831,62,2.69,2,2,1,4
45832,44,3.02,3,1,2,3
45833,80,1.44,2,2,2,3
45834,72,2.56,5,3,2,3
45835,53,4.39,3,1,1,2
45836,52,5,4,1,2,3
45837,39,1.75,2,5,2,4
45838,62,2.14,4,1,2,3
45839,44,1.23,3,1,2,3
45840,49,5,5,1,1,4
45841,0,0.51,NA,NA,2,1
45842,80,1.73,5,2,2,4
45843,10,1.4,NA,NA,1,4
45844,5,0.62,NA,NA,1,1
45845,75,2.14,4,1,1,3
45846,60,0.91,1,1,1,2
45847,8,5,NA,NA,2,3
45848,39,2.15,4,1,1,4
45849,0,0.75,NA,NA,2,4
45850,53,5,1,1,2,5
45851,55,2.73,2,1,2,4
45852,5,1.99,NA,NA,2,1
45853,54,2.56,1,1,1,1
45854,10,5,NA,NA,2,3
45855,19,1.14,NA,NA,1,2
45856,55,4.11,3,3,2,3
45857,80,2.43,3,2,2,4
45858,49,0.77,2,5,1,4
45859,17,1.07,NA,NA,1,4
45860,3,0.58,NA,NA,2,5
45861,30,1.83,2,1,1,3
45862,2,0.89,NA,NA,2,5
45863,5,1.89,NA,NA,1,1
45864,4,3.54,NA,NA,2,3
45865,8,0.62,NA,NA,1,2
45866,24,5,2,5,1,4
45867,37,3.13,3,5,2,2
45868,39,NA,4,1,1,3
45869,46,0.83,1,1,2,2
45870,0,2.45,NA,NA,1,1
45871,77,0.68,1,1,1,1
45872,22,4.44,2,5,1,2
45873,11,0.15,NA,NA,2,2
45874,21,1.11,2,5,2,4
45875,2,0.57,NA,NA,2,4
45876,1,1.99,NA,NA,2,2
45877,1,0.55,NA,NA,2,1
45878,51,5,2,1,2,2
45879,16,2.83,NA,NA,1,4
45880,15,5,NA,NA,2,1
45881,32,1.27,1,5,1,2
45882,67,4.75,4,1,1,3
45883,65,3.26,3,1,1,2
45884,76,0.82,1,1,1,1
45885,45,3.65,5,3,2,3
45886,73,2.78,1,1,1,3
45887,49,1.9,2,1,2,3
45888,10,NA,NA,NA,1,3
45889,67,0.88,2,1,2,1
45890,71,1.75,1,1,1,4
45891,56,1.21,1,1,2,4
45892,2,0.91,NA,NA,1,1
45893,13,1.29,NA,NA,2,2
45894,60,5,4,1,1,3
45895,3,2.84,NA,NA,2,2
45896,50,1.01,4,1,2,3
45897,0,3.63,NA,NA,2,4
45898,14,0.67,NA,NA,2,2
45899,3,1.88,NA,NA,2,4
45900,29,2.07,4,1,2,4
45901,43,5,5,6,1,4
45902,39,2.97,4,1,2,3
45903,71,3.57,4,1,2,3
45904,1,1.23,NA,NA,2,1
45905,68,NA,1,2,2,1
45906,3,0.52,NA,NA,2,3
45907,41,1.47,4,3,2,3
45908,16,0,NA,NA,1,2
45909,80,1.97,3,2,1,3
45910,55,1.42,2,3,2,4
45911,54,1.43,1,4,1,1
45912,1,1.11,NA,NA,2,4
45913,1,2.42,NA,NA,1,3
45914,16,NA,NA,NA,1,4
45915,10,1.23,NA,NA,1,3
45916,33,1.16,1,1,2,3
45917,11,1.01,NA,NA,2,4
45918,62,2.43,2,1,1,4
45919,2,1.27,NA,NA,1,4
45920,14,0.29,NA,NA,1,4
45921,1,2.22,NA,NA,2,5
45922,63,0.91,1,1,2,1
45923,20,0.97,4,5,1,1
45924,24,1.46,3,5,1,1
45925,68,5,5,1,1,5
45926,52,4.41,4,3,2,3
45927,45,3.13,3,1,1,3
45928,73,NA,4,2,1,4
45929,46,2.45,4,3,1,4
45930,6,0.58,NA,NA,1,4
45931,2,3.32,NA,NA,2,5
45932,0,2.34,NA,NA,1,4
45933,63,1.18,4,1,2,3
45934,17,2.33,NA,NA,1,1
45935,3,0.99,NA,NA,2,3
45936,49,NA,3,1,2,5
45937,26,4.37,5,3,1,4
45938,15,3.77,NA,NA,2,3
45939,80,2.07,4,1,2,3
45940,1,0.61,NA,NA,2,4
45941,22,3.96,4,5,2,3
45942,0,1.16,NA,NA,1,3
45943,57,5,2,1,1,4
45944,13,1.16,NA,NA,1,1
45945,38,1.07,3,6,2,3
45946,43,0.74,3,3,2,5
45947,1,1.45,NA,NA,1,3
45948,10,3.2,NA,NA,1,5
45949,47,2.91,3,1,1,3
45950,77,2.36,4,2,2,3
45951,58,2.39,3,1,2,2
45952,52,5,3,1,1,2
45953,80,2,1,1,2,4
45954,14,5,NA,NA,2,3
45955,47,0.73,1,3,1,4
45956,15,2.04,NA,NA,2,2
45957,77,0.69,5,3,2,3
45958,4,0.32,NA,NA,2,1
45959,60,1.76,3,3,2,4
